URI,Title,Authority,Deity,Denomination,Department,Diameter,Dynasty,Issuer,Manufacture,Material,Mint,Obverse Legend,Obverse Type,Object Type,Portrait,Reference,Region,Region-coord,Reverse Legend,Reverse Type,Weight,terminus_post_quem,terminus_ante_quem,year_avg,Thumbnail_obv,Thumbnail_rev
http://numismatics.org/collection/0000.999.24015,"Bronze AE3 of Arcadius, Heraclea, AD 395 - AD 401. 0000.999.24015",Arcadius,,AE3,Roman,18,,,Struck,Bronze,Heraclea,D N ARCADIVS P F AVG,Bust diademed dr. cuirassed right,Coin,Arcadius,RIC X Arcadius 58|Sab.32,Thrace,"42.15, 24.75",VIRTVS EXERCITI,"Emperor standing left holding spear and shield, Victory presenting him wreath",2.108,395,401,398,http://numismatics.org/collectionimages/00001899/0000/0000.999.24015.obv.width175.jpg,http://numismatics.org/collectionimages/00001899/0000/0000.999.24015.rev.width175.jpg
http://numismatics.org/collection/0000.999.24016,"Bronze AE3 of Arcadius, Ravenna, AD 395 - AD 408. 0000.999.24016",Arcadius,Victory,AE3,Roman,18.5,,Arcadius,,Bronze,Ravenna,D N ARCADI-VS P F AVG,Bust diademed dr. r.,Coin,,,,,VIRTVS EXERCI[TI],"Emperor stg. l. holding spear and shield, Victory presenting him wreath",2.384,395,408,401,http://numismatics.org/collectionimages/00001899/0000/0000.999.24016.obv.width175.jpg,http://numismatics.org/collectionimages/00001899/0000/0000.999.24016.rev.width175.jpg
http://numismatics.org/collection/0000.999.24017,"Bronze AE3 of Arcadius, AD 395 - AD 408. 0000.999.24017",Arcadius,Victory,AE3,Roman,14,,Arcadius,,Bronze,,D N ARCADI-[VS P F AVG],Bust diademed dr. cuir. r.,Coin,,,,,VIRTVS [EXERCITI],"Emperor stg. l. holding spear and shield, Victory presenting him wreath",2.416,395,408,401,http://numismatics.org/collectionimages/00001899/0000/0000.999.24017.obv.width175.jpg,http://numismatics.org/collectionimages/00001899/0000/0000.999.24017.rev.width175.jpg
http://numismatics.org/collection/0000.999.24018,"Bronze AE3 of Arcadius, Ravenna, AD 395 - AD 408. 0000.999.24018",Arcadius,,AE3,Roman,14.5,,Arcadius,,Bronze,Ravenna,D N ARCADI[VS P] F AVG,Bust diademed dr. cuir. r. star in left field,Coin,,,,,GLORI-A ROMA-NORVM,three figures stg.,1.397,395,408,401,http://numismatics.org/collectionimages/00001899/0000/0000.999.24018.obv.width175.jpg,http://numismatics.org/collectionimages/00001899/0000/0000.999.24018.rev.width175.jpg
http://numismatics.org/collection/0000.999.24019,"Gold Solidus of Theodosius II, Constantinople, AD 441 - AD 450. 0000.999.24019",Theodosius II,Constantinopolis,Solidus,Roman,22,,,Struck,Gold,Constantinople,D N THEODOSIVS P F AVG,Bust facing helmeted cuirassed holding spear and shield,Coin,Theodosius II,RIC X Theodosius II (East) 285,Thrace,"42.15, 24.75",IMP XXXXII COS XVII P P,"Constantinopolis seated left holding cross on globe, shield and spear to right, prow left",4.46,441,450,445,http://numismatics.org/collectionimages/00001899/0000/0000.999.24019.obv.width175.jpg,http://numismatics.org/collectionimages/00001899/0000/0000.999.24019.rev.width175.jpg
http://numismatics.org/collection/0000.999.24020,"Bronze AE3-4 of Theodosius II, Constantinople, AD 425 - AD 435. 0000.999.24020",Theodosius II,,AE3-4,Roman,12,,,Struck,Bronze,Constantinople,D N THEODOSIVS P F AVG,Bust diademed draped cuirassed right,Coin,Theodosius II,RIC X Theodosius II (East) 445,Thrace,"42.15, 24.75",,Cross in wreath,1.214,425,435,430,http://numismatics.org/collectionimages/00001899/0000/0000.999.24020.obv.width175.jpg,http://numismatics.org/collectionimages/00001899/0000/0000.999.24020.rev.width175.jpg
http://numismatics.org/collection/0000.999.24021,"Bronze AE4 of Theodosius II, Nicomedia, AD 425 - AD 435. 0000.999.24021",Theodosius II,Victory,AE4,Roman,10.5,,,Struck,Bronze,Nicomedia,[D N TH]EODOSIVS P F A[VG],Bust diademed draped cuirassed right,Coin,Theodosius II,RIC X Theodosius II (East) 436,Bithynia,"40.766667, 29.933333",CO[NCODRIA] AVG,Victory advancing front holding wreath in each hand,1.001,425,435,430,http://numismatics.org/collectionimages/00001899/0000/0000.999.24021.obv.width175.jpg,http://numismatics.org/collectionimages/00001899/0000/0000.999.24021.rev.width175.jpg
http://numismatics.org/collection/0000.999.24022,"Bronze AE3 of Theodosius II, Cyzicus, AD 408 - AD 423. 0000.999.24022",Theodosius II,,AE3,Roman,14.5,,,Struck,Bronze,Cyzicus,D N THEODOSIVS P F AVG,Bust diademed draped cuirassed right star in left field,Coin,Theodosius II|Honorius,RIC X Theodosius II (East) 404,Mysia,"39.1325, 27.184167",GLORIA - ROM[A]-NORVM,two figures standing resting inner hand on shield,1.417,408,423,415,http://numismatics.org/collectionimages/00001899/0000/0000.999.24022.obv.width175.jpg,http://numismatics.org/collectionimages/00001899/0000/0000.999.24022.rev.width175.jpg
http://numismatics.org/collection/0000.999.24023,"Bronze AE3-4 of Theodosius II, Cyzicus, AD 425 - AD 435. 0000.999.24023",Theodosius II,,AE3-4,Roman,11,,,Struck,Bronze,Cyzicus,[D N THE]ODOSIVS P F AVG,Bust diademed draped cuirassed right,Coin,Theodosius II,RIC X Theodosius II (East) 451,Mysia,"39.1325, 27.184167",,cross within wreath,0.971,425,435,430,http://numismatics.org/collectionimages/00001899/0000/0000.999.24023.obv.width175.jpg,http://numismatics.org/collectionimages/00001899/0000/0000.999.24023.rev.width175.jpg
http://numismatics.org/collection/0000.999.24024,"Bronze AE4 of Theodosius II, AD 408 - AD 450. 0000.999.24024",Theodosius II,,AE4,Roman,11,,Theodosius II,,Bronze,,D N [THE]ODO-[SIVS P F AVG],Bust diademed draped cuirassed right,Coin,,,,,,cross within wreath,0.749,408,450,429,http://numismatics.org/collectionimages/00001899/0000/0000.999.24024.obv.width175.jpg,http://numismatics.org/collectionimages/00001899/0000/0000.999.24024.rev.width175.jpg
