voyageid,shipname,nationality,captain,date_dep,principal_place_of_slave_purchase,principal_place_of_slave_landing,principal_region_of_slave_landing,total_slaves_embarked,total_slaves_disembarked,percentmen,percentwomen,percentboy,percentgirl,percentchild,slave_deaths_during_middle_passage
1,Pastora de Lima,Portugal,"Dias, Manoel José",1816-08-04,Mozambique,"Bahia, port unspecified",Bahia,404,290,,,,,,114
2,Tibério,,"Mata, José Maria da",1816-07-11,Mozambique,"Bahia, port unspecified",Bahia,246,223,,,,,,
4,Bom Caminho,,"Dias, Domingos Francisco",1816-07-06,Quilimane,"Bahia, port unspecified",Bahia,381,342,,,,,,39
6,Voador,,,,Mozambique,"Bahia, port unspecified",Bahia,557,515,,,,,,
21,Esgueira,,"Domingues, Jerônimo",,Quilimane,Rio de Janeiro,Southeast Brazil,607,521,,,,,,86
31,Resolução,,"Gomes, Manoel José",1816-08-08,Mozambique,Rio de Janeiro,Southeast Brazil,401,354,,,,,,47
55,Duque de Bragança,,"Souza, Luís Inácio de",1817-05-18,Mozambique,Rio de Janeiro,Southeast Brazil,606,537,,,,,,69
58,Protetor General,,"Silva, José dos Santos Almeida e",1816-11-02,Mozambique,Rio de Janeiro,Southeast Brazil,807,468,,,,,,339
61,Pérola do Norte,,"Barbosa, Joaquim Gomes",1816-08-05,Mozambique,Rio de Janeiro,Southeast Brazil,421,260,,,,,,161
62,Esgueira,,"Domingues, Jerônimo",1817-06-14,Quilimane,Cabo de Búzios,Southeast Brazil,584,500,,,,,,84
69,Pastora de Lima,,"Cunha, Eusébio José da",1817-06-08,Mozambique,Rio de Janeiro,Southeast Brazil,479,400,,,,,,79
70,Aurora do Cabo,,"Pederneira, Manoel Pereira",1817-08-23,Quilimane,Rio de Janeiro,Southeast Brazil,430,341,,,,,,89
76,S José Diligente,,"Nunes, Francisco Pereira",1817-06-11,Quilimane,Rio de Janeiro,Southeast Brazil,464,226,,,,,,238
87,União Feliz,,"Silva, Joaquim José da; Caldeira, Antônio Gomes; Teixeira, Jacinto Alves",1817-09-10,Mozambique,Rio de Janeiro,Southeast Brazil,659,430,,,,,,229
109,Esgueira,,"Silva, José dos Santos Almeida e",1818-05-07,Mozambique,Rio de Janeiro,Southeast Brazil,544,396,,,,,,148
111,Serpente,,"Cunha, Eusébio José da",1818-05-08,Mozambique,Rio de Janeiro,Southeast Brazil,375,293,,,,,,82
136,Aurora do Cabo,,"Pacheco, José Emídio Adauto; Ferreira, João Antônio",1821-04-28,Mozambique,Rio de Janeiro,Southeast Brazil,492,298,,,,,,194
137,S Filipe Londoffe,,,,Mozambique,Rio de Janeiro,Southeast Brazil,428,413,,,,,,15
140,Amazona,,"Silva, Manoel Lopes da; Viana, Manoel Goncalves",1821-07-19,Mozambique,Rio de Janeiro,Southeast Brazil,465,422,,,,,,43
141,NS da Conceição Esperança,Portugal,"Carvalho, Agostinho J",1820-07-26,Mozambique,Rio de Janeiro,Southeast Brazil,389,265,,,,,,124
144,Triunfo do Brasil,,"Carrilho, João Rodrigues",1821-05-29,Mozambique,Rio de Janeiro,Southeast Brazil,532,401,,,,,,131
145,NS da Guia,,"Silva, José Jorge da",1821-06-14,Quilimane,Rio de Janeiro,Southeast Brazil,529,436,,,,,,93
147,Ulisses,,"Viana, Pedro José Correa",1821-06-14,Mozambique,Rio de Janeiro,Southeast Brazil,631,418,,,,,,213
149,Zéfiro,,"Melo, José Antônio de; Costa, Domingos Luís da",1821-08-14,Quilimane,Rio de Janeiro,Southeast Brazil,504,483,,,,,,21
151,Leopoldina,,"Menezes, Antônio Joaquim de",1821-??-??,Quilimane,Rio de Janeiro,Southeast Brazil,481,448,,,,,,33
152,Mariana,,"Domingues, Jerônimo",1821-06-21,Mozambique,Rio de Janeiro,Southeast Brazil,520,380,,,,,,140
153,Minerva,,"Souza, Antônio José de",1821-08-04,Quilimane,Rio de Janeiro,Southeast Brazil,577,475,,,,,,102
156,Vinte e Seis de Fevereiro,,"Branco, Paulo José",1821-07-03,Mozambique,Rio de Janeiro,Southeast Brazil,623,455,,,,,,168
159,General Silveira,,"Freitas, Antônio Lourenço de; Vale, João Gomes",,Quilimane,Rio de Janeiro,Southeast Brazil,460,406,,,,,,54
160,Conde dos Arcos,,"Luz, Antônio da",1821-09-25,Quilimane,Rio de Janeiro,Southeast Brazil,477,425,,,,,,52
162,Feliz Eugênia,,"Fogaça, Antônio Gomes",1821-07-17,Mozambique,Rio de Janeiro,Southeast Brazil,672,455,,,,,,217
166,NS do Baluarte,Portugal,"Pinheiro, Luís José Soares",,Quilimane,Rio de Janeiro,Southeast Brazil,418,203,,,,,,215
193,Aurora do Cabo,,"Pacheco, José Emídio Adauto; Vale, João Gomes",1822-05-??,Quilimane,Rio de Janeiro,Southeast Brazil,497,452,,,,,,45
195,Africano Constitucional,,,,Quilimane,Rio de Janeiro,Southeast Brazil,639,590,,,,,,49
241,Lucônia,,"Costa, Desidério Manoel da",1820-08-10,Mozambique,Rio de Janeiro,Southeast Brazil,346,241,,,,,,105
242,Duque de Bragança,,"Gomes, Manoel José",1820-06-04,Mozambique,Rio de Janeiro,Southeast Brazil,508,270,,,,,,238
243,Paquete do Rio,,"Santos, Casemiro Lúcio dos; Castro, Henrique José de",1820-04-28,Quilimane,Rio de Janeiro,Southeast Brazil,476,311,,,,,,165
244, ,,,,Quilimane,Rio de Janeiro,Southeast Brazil,451,385,,,,,,66
245,Minerva,,"Cardoso, Manoel; Souza, Antônio José de",1820-06-12,Quilimane,Rio de Janeiro,Southeast Brazil,432,290,,,,,,142
246,Júlia,,"Cunha, Eusébio José da",,Quilimane,Rio de Janeiro,Southeast Brazil,433,291,,,,,,142
247,Feliz Carlota,,"Oliveira, Ventura José de",1820-06-17,Quilimane,Rio de Janeiro,Southeast Brazil,434,267,,,,,,167
248,Pastora de Lima,,"Luz, Antônio da",1820-08-09,Quilimane,Rio de Janeiro,Southeast Brazil,337,260,,,,,,77
251,Leopoldina,,"Silva, João Henriques da",1820-07-19,Quilimane,Rio de Janeiro,Southeast Brazil,455,433,,,,,,22
252,Esperança,,"Loureiro, Joaquim José da Silva",1820-08-05,Quilimane,Rio de Janeiro,Southeast Brazil,581,385,,,,,,196
255,NS da Guia Morgado do Almeo,,"Silva, José Jorge da",1820-06-16,Quilimane,Rio de Janeiro,Southeast Brazil,450,430,,,,,,20
256,Grão Penedo,,"Oliveira, Sérgio Ferreira de",1820-08-04,Quilimane,Rio de Janeiro,Southeast Brazil,374,281,,,,,,93
260,NS do Baluarte,,"Castro, Nicolau Joaquim de",,Mozambique,Rio de Janeiro,Southeast Brazil,375,365,,,,,,10
262, ,,,,"Southeast Africa and Indian Ocean islands, port unspecified",Rio de Janeiro,Southeast Brazil,450,429,,,,,,21
282,Feliz Americano,,"Henriques, João Militão",1821-05-10,Quilimane,Rio de Janeiro,Southeast Brazil,492,446,,,,,,
283,Polifemo,,"Pedrosa, Manoel Carvalho",1821-05-16,Mozambique,Rio de Janeiro,Southeast Brazil,394,394,,,,,,
286,Novo Despique,,"Teixeira, Jacinto Alves",,Mozambique,Rio de Janeiro,Southeast Brazil,450,322,,,,,,128
289,Delfim,Portugal,"Almeida, Francisco Joaquim de",,Mozambique,Maranhão,Amazonia,221,137,,,,,,84
297,Santana Flor de Cintra,,"Martins, Diogo Cândido",1821-09-10,Mozambique,Rio de Janeiro,Southeast Brazil,492,440,,,,,,52
298,Zéfiro,,"Monteiro, José Albuquerque Xavier",1822-07-05,Quilimane,Rio de Janeiro,Southeast Brazil,416,407,,,,,,9
300,Príncipe Regente,,"Pedrosa, Manoel Carvalho",1822-06-06,Mozambique,Rio de Janeiro,Southeast Brazil,733,689,,,,,,44
301,Trajano,,"Cunha, Eusébio José da",1822-06-16,Quilimane,Rio de Janeiro,Southeast Brazil,517,493,,,,,,24
304,Amazona,,"Ferreira, Antônio José; Branco, Antônio Pires",1822-07-16,Mozambique,Rio de Janeiro,Southeast Brazil,465,457,,,,,,8
305,Mariana,,"Domingues, Jerônimo",1822-07-25,Mozambique,Rio de Janeiro,Southeast Brazil,520,441,,,,,,79
306,Nove de Janeiro,,"Almeida, Antônio Pedro de",1822-07-02,Mozambique,Rio de Janeiro,Southeast Brazil,594,528,,,,,,66
307,Leopoldina,,"Menezes, Antônio Joaquim de",,Quilimane,Rio de Janeiro,Southeast Brazil,481,280,,,,,,201
308,Minerva,,"Braga, João Ribeiro de Castro",1822-07-22,Quilimane,Rio de Janeiro,Southeast Brazil,440,395,,,,,,45
309,NS da Guia,,"Silva, José Jorge da",1822-05-22,Quilimane,Rio de Janeiro,Southeast Brazil,338,240,,,,,,98
315,Santana Flor de Luanda,,"Lontra, Rafael Inácio da Fonseca",1822-07-10,Mozambique,Rio de Janeiro,Southeast Brazil,519,433,,,,,,86
316,Novo Despique,,"Teixeira, Jacinto Alves",,Mozambique,Rio de Janeiro,Southeast Brazil,440,436,,,,,,4
331,Africano Constitucional,,"Henriques, João Militão",1823-05-13,Quilimane,Rio de Janeiro,Southeast Brazil,758,744,,,,,,14
332,Príncipe Regente,,"Pereira, Francisco Manoel",,Mozambique,Rio de Janeiro,Southeast Brazil,735,607,,,,,,128
368,Bella Dolores,Spain,"Guerrero, Antonio",1824-07-11,Madagascar,Havana,Cuba,220,210,,,,,,
371,Belisário,,"Vitório, Augusto José",,Mozambique,"Bahia, port unspecified",Bahia,336,300,,,,,,
383,Vigilante,,"Carvalho, Francisco Cândido da Silva e",1823-07-03,Mozambique,Rio de Janeiro,Southeast Brazil,596,474,,,,,,122
385,Minerva,,"Braga, João Ribeiro de Castro",1823-08-05,Quilimane,Rio de Janeiro,Southeast Brazil,517,378,,,,,,139
386,Nove de Janeiro,,"Lontra, Rafael Inácio da Fonseca",1823-06-29,Mozambique,Rio de Janeiro,Southeast Brazil,596,487,,,,,,109
391,Império do Brasil,,"Menezes, Antônio Joaquim de",1823-07-13,Quilimane,Rio de Janeiro,Southeast Brazil,404,337,,,,,,67
393,Conde dos Arcos,,"Matos, João Vieira Barão de",1823-07-31,Quilimane,Rio de Janeiro,Southeast Brazil,446,338,,,,,,108
394,Zéfiro,Portugal,"Souza, Antônio Ferreira de",1823-08-18,Quilimane,Rio de Janeiro,Southeast Brazil,518,477,,,,,,41
395,Trajano,Brazil,"Silva, Manoel Francisco da",1823-06-04,Quilimane,Rio de Janeiro,Southeast Brazil,536,413,,,,,,123
397,Adamastor,,"Lopes, Francisco da Silva",1823-05-28,Quilimane,Rio de Janeiro,Southeast Brazil,448,262,,,,,,186
399,Vinte e Seis de Fevereiro,,"Branco, Paulo José",1823-05-07,Mozambique,Rio de Janeiro,Southeast Brazil,612,545,,,,,,67
402,Visconde de S Lourenço,,"Cunha, Eusébio José da",1823-10-09,Quilimane,Rio de Janeiro,Southeast Brazil,403,356,,,,,,47
403,Quatro de Abril,,"Luz, José Joaquim da",1823-07-10,Mozambique,Rio de Janeiro,Southeast Brazil,627,488,,,,,,139
404,NS da Guia,,"Silva, Joaquim Arsênio da",1823-07-17,Quilimane,Rio de Janeiro,Southeast Brazil,496,195,,,,,,301
437,Príncipe Regente,,"Bondoso, Antônio José",1824-04-25,Mozambique,Rio de Janeiro,Southeast Brazil,742,708,,,,,,34
496,Sete de Março,,"Teixeira, Jacinto Alves",,Mozambique,Rio de Janeiro,Southeast Brazil,92,92,,,,,,
497,Vigilante,,"Carvalho, Francisco Cândido da Silva e",1824-05-20,Mozambique,Rio de Janeiro,Southeast Brazil,622,577,,,,,,45
498,Africano Constitucional,,"Monteiro, Alexandre Correa Cardoso",1824-05-12,Quilimane,Rio de Janeiro,Southeast Brazil,795,726,,,,,,69
499,Seis de Fevereiro,,"Moreira, José Lopes da Costa (Jr)",1824-05-26,Mozambique,Rio de Janeiro,Southeast Brazil,414,361,,,,,,53
501,Adamastor,Portugal,"Santos, Antônio Teodoro dos",,Mozambique,Rio de Janeiro,Southeast Brazil,492,487,,,,,,5
504,Conde dos Arcos,,"Silva, João Paulino da",1824-07-20,Mozambique,Rio de Janeiro,Southeast Brazil,555,513,,,,,,42
505,Nove de Janeiro,,"Lontra, Rafael Inácio da Fonseca",1824-06-29,Mozambique,Rio de Janeiro,Southeast Brazil,594,572,,,,,,22
506,Vulcano,,"Ferreira, Antônio José",1824-06-27,Quilimane,Rio de Janeiro,Southeast Brazil,568,504,35.0%,13.0%,32.0%,20.0%,52.0%,64
508,S Antônio Triunfo,,"Raposo, Antônio Joaquim da Silva",,Quilimane,Rio de Janeiro,Southeast Brazil,401,298,,,,,,103
510,Minerva,,"Braga, João Ribeiro de Castro; Barreiros, Antônio de Oliveira",1824-08-10,Quilimane,Rio de Janeiro,Southeast Brazil,516,469,,,,,,47
513,Conde dos Arcos,,"Monteiro, Caetano Francisco",1824-08-16,Quilimane,Rio de Janeiro,Southeast Brazil,400,375,,,,,,25
515,Trajano,,"Silva, Manoel Francisco da",1824-06-14,Quilimane,Rio de Janeiro,Southeast Brazil,545,377,,,,,,168
518,Despique,,"Vieira, Constantino Gomes; Santos, Manoel Pereira dos",1824-08-09,Mozambique,Rio de Janeiro,Southeast Brazil,563,421,,,,,,142
522,NS da Guia,,"Andrade, José Freire Alves de",1824-09-16,Quilimane,Rio de Janeiro,Southeast Brazil,405,307,,,,,,98
527,Imperador do Brasil,,"Martins, Joaquim Custódio; Salgado, Aleixo Gomes",1824-09-25,Quilimane,Rio de Janeiro,Southeast Brazil,425,227,,,,,,198
551,Duarte Pacheco,,"Cunha, Manoel Lopes da",,Mozambique,Rio de Janeiro,Southeast Brazil,560,535,,,,,,25
553,Sete de Março,,"Rodrigues, Francisco de Paula",,Mozambique,Rio de Janeiro,Southeast Brazil,353,335,,,,,,18
564,Amizade dos Santos,Brazil,,,Quilimane,Rio de Janeiro,Southeast Brazil,402,345,,,,,,57
612,Aníbal,,"Cera, Antônio José Ferreira",,Mozambique,Rio de Janeiro,Southeast Brazil,999,859,,,,,,140
613,Vinte e Oito de Março,,"Sales, Joaquim de",1826-07-10,Quilimane,Rio de Janeiro,Southeast Brazil,448,446,,,,,,2
615,Seis de Fevereiro,,"Mendonça, Francisco de Assis",,Quilimane,Rio de Janeiro,Southeast Brazil,440,419,,,,,,21
616,Bahia,,,,Quilimane,Rio de Janeiro,Southeast Brazil,335,287,,,,,,48
622,Minerva,,"Braga, João Ribeiro de Castro",,Quilimane,Rio de Janeiro,Southeast Brazil,507,489,,,,,,18
